"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","805","Verify alternate Wangiri Fraud values can be configured successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.WangiriFraudTest","Test","ui.configuration.security.monitors.WangiriFraudTest","shouldConfigureAlternateValues"
"","520","Verify Wangiri Fraud configuration persists after refresh","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.WangiriFraudTest","Test","ui.configuration.security.monitors.WangiriFraudTest","shouldVerifyConfigurationPersistence"
"","1605","Blacklist Service UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.administration.maintenance.MaintenancePagesTest","Test","smoke.administration.maintenance.MaintenancePagesTest","blacklistServiceUiPageLoadValidation"
"","1260","Verify all banned countries can be deleted successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.banned.BannedCountriesTest","Test","ui.configuration.security.banned.BannedCountriesTest","deleteAll"
"","54","Verify Wangiri Fraud monitoring can be enabled successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.WangiriFraudTest","Test","ui.configuration.security.monitors.WangiriFraudTest","shouldEnableWangiriFraud"
"","746","Verify user can enable Simultaneous Session Monitor and apply configuration","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.spit.SimultaneousSessionAlertTest","Test","ui.configuration.security.monitors.spit.SimultaneousSessionAlertTest","shouldUpdateSimultaneousSessionConfiguration"
"","49313","Verify enabling and disabling of RoboCalls global toggle","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.botnet.RoboCallsTest","Test","ui.configuration.security.botnet.RoboCallsTest","toggleEnable"
"","1245","Verify Registration Fraud distance can be updated successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.RegistrationFraudTest","Test","ui.configuration.security.monitors.RegistrationFraudTest","shouldUpdateDistance"
"","1048","Verify safelist user agents can be uploaded using CSV file","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.safelist.SafelistUserAgentTest","Test","ui.configuration.security.safelist.SafelistUserAgentTest","uploadCSV"
"","1582","Interoperability UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.configuration.basicsetup.BasicSetupPagesTest","Test","smoke.configuration.basicsetup.BasicSetupPagesTest","interoperabilityUiPageLoadValidation"
